НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000011862;1640;1200;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011528;990;880;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009384;900;860;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009281;640;580;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009282;1100;940;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009283;1100;990;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009398;760;720;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010042;470;470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008626;670;640;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011556;15490;14890;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011734;470;470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011799;2800;2610;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011836;5900;5670;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011898;3600;3600;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008729;2640;2640;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008531;1700;1300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008538;6870;6200;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008602;2680;2450;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008366;980;980;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010681;8800;8560;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010470;630;560;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008398;5980;5470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010803;7650;7170;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010816;1630;1540;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010546;6200;5610;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010550;8160;7680;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010586;1580;1580;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010646;3510;2950;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010649;9990;9400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010650;9330;8780;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008185;1020;920;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009032;3460;3250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008206;490;420;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008244;1100;1020;0;0;0;0;0;0;0;0;0;0;0;0;;;
