"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"11222";"15х4 1/2-8 STANDART EKKA Шина цельнолитая для вилочного погрузчика";"0";"6050"
"11223";"16х6-8 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"2";"10300"
"11224";"16х6-8 CLIP NM EKKA белая Шина цельнолитая для вилочного погрузчика";"0";"10580"
"11225";"18х7-8 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"27";"10910"
"11226";"18х7-8 CLIP NM EKKA белая Шина цельнолитая для вилочного погрузчика";"10";"11230"
"11227";"18х7-8 STANDART EKKA Шина цельнолитая для вилочного погрузчика";"0";"10070"
"11228";"21х8-9 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"4";"19090"
"11229";"21х8-9 CLIP NM EKKA белая Шина цельнолитая для вилочного погрузчика";"0";"19660"
"11230";"23х9-10 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"26";"27310"
"11231";"28х9-15 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"38";"34610"
"11232";"28х9-15 STANDART EKKA Шина цельнолитая для вилочного погрузчика";"16";"34020"
"11233";"5.00-8 Standart EKKA Шина цельнолитая для вилочного погрузчика";"41";"8640"
"11234";"6.00-9 STANDART EKKA Шина цельнолитая для вилочного погрузчика";"30";"12810"
"11235";"6.50-10 Standart EKKA Шина цельнолитая для вилочного погрузчика";"36";"17200"
"11360";"18х7-8  C601 16PR TTF 111A5/125A5 EKKA Шина для вилочного погрузчика";"3";"6350"
"11432";"200/50-10 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"0";"12870"
"11433";"200/50-10 CLIP NM EKKA Шина цельнолитая для вилочного погрузчика";"7";"13230"
"11434";"27x10-12 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"11";"39730"
"11435";"27x10-12 CLIP NM EKKA Шина цельнолитая для вилочного погрузчика";"6";"40350"
"11436";"5.00-8 STANDART NM EKKA Шина цельнолитая для вилочного погрузчика";"18";"9510"
"11437";"6.00-9 STANDART NM EKKA Шина цельнолитая для вилочного погрузчика";"40";"14100"
"11438";"6.50-10 STANDART NM EKKA Шина цельнолитая для вилочного погрузчика";"52";"18900"
"11440";"7.00-12 STANDART NM EKKA Шина цельнолитая для вилочного погрузчика";"20";"26270"
"11441";"7.00-12 Standart EKKA Шина цельнолитая для вилочного погрузчика";"60";"23910"
"11442";"8.25-15 Standart EKKA Шина цельнолитая для вилочного погрузчика";"22";"44360"
"11439";"6.50-10 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"10";"18410"
"11745";"4.00-8/3.00 STANDART EKKA Шина цельнолитая для вилочного погрузчика";"12";"5670"
"11746";"4.00-8/3.00 STANDART NM EKKA Шина цельнолитая для вилочного погрузчика";"10";"6240"
"11915";"140/55-9 Clip EKKA Шина цельнолитая для вилочного погрузчика";"20";"7670"
"11916";"28х9-15 CLIP NM EKKA Шина цельнолитая для вилочного погрузчика";"8";"34220"
"11917";"8.25-15 CLIP EKKA Шина цельнолитая для вилочного погрузчика";"10";"46260"
"7086";"6.00-9 10PR TTF Superguider QH201 Шина для вилочного погрузчика";"30";"6580"
"6961";"7.00-15 12PR TTF QH201 Superguider Шина для вилочного погрузчика";"0";"13800"
"7138";"7.50-15 12PR TTF QH201 Superguider Шина для вилочного погрузчика";"0";"14930"
