НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000007332;1000;1000;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007386;1470;1340;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007417;500;500;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007418;4200;4000;14;10;14;10;0;0;0;0;0;0;0;0;;;
00000007419;4500;4500;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007427;3950;3560;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007436;1200;1200;0;14;0;14;0;0;0;0;0;0;0;0;;;
00000007443;6700;6380;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007446;8190;7480;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007464;3710;3500;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000007469;26210;24030;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007758;7650;6800;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000007824;90970;88550;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000007899;151600;135640;40;0;40;0;0;0;0;0;0;0;0;0;;;
00000007902;10270;9480;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007981;24300;23650;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000007993;24860;24200;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000008048;22680;19440;0;2;0;2;0;0;0;0;0;0;0;0;12;2024-11-29;
00000008150;8620;7470;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000008153;3430;2890;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000008192;11020;9800;26;0;26;0;0;0;0;0;0;0;0;0;;;
00000008195;22410;19920;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008354;44470;39530;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000008476;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008478;3030;2370;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000008482;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008848;4000;3530;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000008861;9600;9200;7;0;7;0;0;0;0;0;0;0;0;0;;;
00000008883;13750;13160;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000009078;1100;850;36;0;36;0;0;0;0;0;0;0;0;0;;;
00000009079;6000;5350;9;0;9;0;0;0;0;0;0;0;0;0;100;2024-11-11;
00000009080;5100;4650;1;0;1;0;0;0;0;0;0;0;0;0;100;2024-11-11;
00000009081;5850;5450;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009082;4900;4350;26;0;26;0;0;0;0;0;0;0;0;0;70;2024-11-11;
00000009083;3500;3050;65;0;65;0;0;0;0;0;0;0;0;0;;;
00000009084;3850;3200;31;0;31;0;0;0;0;0;0;0;0;0;;;
00000009086;2950;2550;38;2;38;2;0;0;0;0;0;0;0;0;;;
00000009087;2100;1600;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009089;4600;3700;46;0;46;0;0;0;0;0;0;0;0;0;;;
00000009090;5100;4650;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009091;3650;3300;201;0;201;0;0;0;0;0;0;0;0;0;;;
00000009093;3850;3700;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000009094;4150;3600;74;0;74;0;0;0;0;0;0;0;0;0;;;
00000009096;8200;7200;39;0;39;0;0;0;0;0;0;0;0;0;;;
00000009097;5950;5200;43;0;43;0;0;0;0;0;0;0;0;0;;;
00000009105;7440;7130;0;4;0;4;0;0;0;0;0;0;0;0;;;
00000009158;4370;4030;162;4;162;4;0;0;0;0;0;0;0;0;84;2024-12-23;
00000009159;7290;6480;54;0;54;0;0;0;0;0;0;0;0;0;69;2024-12-23;
00000009160;8130;7500;0;6;0;6;0;0;0;0;0;0;0;0;40;2024-12-23;
00000009161;23470;20870;4;0;4;0;0;0;0;0;0;0;0;0;30;2024-11-29;
00000009162;43250;39030;5;0;5;0;0;0;0;0;0;0;0;0;20;2024-11-29;
00000009164;40690;36710;30;0;30;0;0;0;0;0;0;0;0;0;;;
00000009165;65090;58730;22;0;22;0;0;0;0;0;0;0;0;0;;;
00000009166;102900;92840;10;0;10;0;0;0;0;0;0;0;0;0;;;
00000009174;18150;16380;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000009200;18570;16510;89;0;89;0;0;0;0;0;0;0;0;0;50;2024-12-23;
00000009201;22780;20250;0;8;0;8;0;0;0;0;0;0;0;0;60;2024-12-23;
00000009204;26630;24020;10;0;10;0;0;0;0;0;0;0;0;0;30;2024-12-23;
00000009205;42550;38390;1;0;1;0;0;0;0;0;0;0;0;0;26;2024-12-23;
00000009223;8950;7950;1;0;1;0;0;0;0;0;0;0;0;0;40;2024-11-29;
00000009224;27260;24240;126;0;126;0;0;0;0;0;0;0;0;0;36;2024-10-16;
00000009228;50630;45680;0;12;0;12;0;0;0;0;0;0;0;0;16;2024-12-23;
00000009232;39680;35800;4;0;4;0;0;0;0;0;0;0;0;0;20;2024-11-29;
00000009233;47150;42540;0;4;0;4;0;0;0;0;0;0;0;0;12;2024-12-23;
00000009235;118920;107290;4;0;4;0;0;0;0;0;0;0;0;0;8;2024-11-29;
00000009236;13490;11990;0;9;0;9;0;0;0;0;0;0;0;0;50;2024-11-29;
00000009238;8520;8060;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000009244;20470;18190;26;0;26;0;0;0;0;0;0;0;0;0;20;2024-11-29;
00000009248;11570;10290;43;0;43;0;0;0;0;0;0;0;0;0;;;
00000009249;13920;12380;57;4;57;4;0;0;0;0;0;0;0;0;;;
00000009250;28290;25140;5;0;5;0;0;0;0;0;0;0;0;0;13;2024-10-16;
00000009305;48350;43630;16;4;16;4;0;0;0;0;0;0;0;0;22;2024-10-16;
00000009307;20780;18470;28;0;28;0;0;0;0;0;0;0;0;0;;;
00000009311;12030;10690;154;0;154;0;0;0;0;0;0;0;0;0;;;
00000009312;17440;15500;8;0;8;0;0;0;0;0;0;0;0;0;28;2024-11-29;
00000009315;23080;21300;104;2;104;2;0;0;0;0;0;0;0;0;;;
00000009322;86870;78380;18;0;18;0;0;0;0;0;0;0;0;0;8;2024-11-29;
00000009325;3800;3400;39;0;39;0;0;0;0;0;0;0;0;0;170;2024-11-11;
00000009326;5100;4600;1;0;1;0;0;0;0;0;0;0;0;0;150;2024-11-11;
00000009327;5950;5050;4;0;4;0;0;0;0;0;0;0;0;0;80;2024-11-11;
00000009329;7700;6600;58;0;58;0;0;0;0;0;0;0;0;0;;;
00000009330;7600;6700;52;0;52;0;0;0;0;0;0;0;0;0;;;
00000009331;8400;7400;66;0;66;0;0;0;0;0;0;0;0;0;;;
00000009332;8050;7300;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000009334;6700;5950;11;0;11;0;0;0;0;0;0;0;0;0;;;
00000009335;8100;7200;18;0;18;0;0;0;0;0;0;0;0;0;;;
00000009406;109080;98420;2;0;2;0;0;0;0;0;0;0;0;0;8;2024-11-29;
00000009426;37000;32890;10;4;10;4;0;0;0;0;0;0;0;0;10;2024-11-25;
00000009427;55770;49570;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000009431;16580;14740;1;0;1;0;0;0;0;0;0;0;0;0;12;2024-11-25;
00000009474;13770;12240;12;0;12;0;0;0;0;0;0;0;0;0;;;
